Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Precision,Recall,F1-Score,Train Time (s)
1,0.12159345597821347,96.22,0.057988863924401814,98.12,0.981415394406246,0.9812,0.9811931051936075,22.228820323944092
2,0.04828601139498518,98.52833333333334,0.042871116443348,98.64,0.9864633240211873,0.9864,0.9863807835427321,21.14084506034851
3,0.033879783042171534,98.95833333333333,0.06502560330554844,97.95,0.9800713396627463,0.9795,0.9794580279400196,21.493485927581787
4,0.02640964410743339,99.15833333333333,0.04043103635831358,98.84,0.9884443976446033,0.9884,0.9883886486589434,21.274711847305298
5,0.025284563321025764,99.20333333333333,0.055563637893646954,98.22,0.9825658385061832,0.9822,0.9821754655709599,21.3715660572052
6,0.02034997913213645,99.33166666666666,0.0324737396562341,98.9,0.9890884176068142,0.989,0.9889972712115085,21.50380516052246
7,0.015577939736899584,99.49833333333333,0.05177360812958796,98.62,0.9863623907532681,0.9862,0.9861864250425372,21.53654384613037
8,0.015802873151644352,99.51833333333333,0.05393239774821268,98.46,0.9851417541018546,0.9846,0.9845763981564324,21.255602836608887
9,0.014265893350672373,99.54,0.03144103885679215,99.05,0.9905490006307315,0.9905,0.99050353753694,21.321572303771973
10,0.013234218787104684,99.555,0.026581184646420297,99.25,0.9925275346439619,0.9925,0.9924959826844404,21.254647254943848
11,0.011843728510776851,99.61333333333333,0.033213023502457875,99.0,0.9900420671809961,0.99,0.9899993025249216,21.137912034988403
12,0.011385865548026173,99.65,0.03291657045774628,99.09,0.9909678949561932,0.9909,0.9908952565815642,21.395828247070312
13,0.00945713096694585,99.71,0.03824443017692829,98.98,0.9898917541104367,0.9898,0.98978856163077,21.794476985931396
14,0.00866964030908693,99.72833333333334,0.03640334235242335,98.93,0.9894077256459807,0.9893,0.9892937120710169,21.556828022003174
15,0.012776908372712142,99.60833333333333,0.025942908326169346,99.29,0.9929188699725839,0.9929,0.9928983392945715,21.367199897766113
16,0.0070333695569214354,99.775,0.022551055887186068,99.38,0.9938157047692677,0.9938,0.9937948415033007,21.196948051452637
17,0.006991053950348052,99.785,0.058880472442024254,98.56,0.9858250066691384,0.9856,0.9856022004971217,21.228455066680908
18,0.007923686635640866,99.74,0.02574249764114711,99.3,0.9930178852606653,0.993,0.9930011996165157,21.27681589126587
19,0.0076314278831210065,99.77166666666666,0.04026838147919989,99.13,0.9913772984787905,0.9913,0.9913020910514618,21.523149013519287
20,0.007841191985248092,99.73166666666667,0.08149914595546762,98.17,0.982406598042451,0.9817,0.981657000749459,21.48503088951111
21,0.008402878850725716,99.73666666666666,0.03201887189561603,99.2,0.9920203871640255,0.992,0.9919945863211432,22.167006015777588
22,0.0059800189559068035,99.80333333333333,0.0371848698834583,99.02,0.9902773483385967,0.9902,0.9902018767721683,35.64505696296692
23,0.004909391685732965,99.85,0.04496130984239244,98.94,0.9895629666412425,0.9894,0.9893917445635534,26.649487257003784
24,0.00535928600954147,99.84333333333333,0.0283787271419186,99.32,0.9932356512679499,0.9932,0.9931982953051458,21.418214797973633
25,0.008508598184221712,99.765,0.03900356330832437,99.11,0.9911706956877273,0.9911,0.9911002594941043,21.373653888702393
26,0.0051889366155553444,99.83,0.04393758648001267,98.83,0.988388866399739,0.9883,0.9882981247920385,18.350316047668457
27,0.005537344120649381,99.83666666666667,0.025671578024645213,99.38,0.9938053848608251,0.9938,0.9937974336876642,18.248916149139404
28,0.003190271455806648,99.89166666666667,0.04732052394443827,98.83,0.9883974617480437,0.9883,0.9882922281759624,18.38160014152527
29,0.008291953266412515,99.75,0.03012857209052555,99.26,0.9926173734410526,0.9926,0.9925998786687859,18.51994228363037
30,0.003728851811861882,99.88,0.026043377044243244,99.46,0.9946081505281072,0.9946,0.9945989435808688,18.295167922973633
31,0.004690757212952024,99.85666666666667,0.03437685597199049,99.17,0.99173259185036,0.9917,0.9916923836118305,18.355637073516846
32,0.004401295547629954,99.87333333333333,0.031180930731521526,99.23,0.9923248422202563,0.9923,0.9922956632105124,18.215446710586548
33,0.0046366347937827354,99.86666666666666,0.033415066265274615,99.02,0.9902461779623578,0.9902,0.9901917054963496,18.26739525794983
34,0.0032979812797225834,99.9,0.039121909302144785,99.19,0.9919608200691935,0.9919,0.9918937766129189,18.170655965805054
35,0.0032139408994748433,99.89833333333333,0.03397175796255354,99.22,0.9922096901816585,0.9922,0.9921994621691358,18.156369924545288
36,0.005411112355254095,99.845,0.02963703170508438,99.3,0.9930050689595699,0.993,0.9929995083204894,18.34405517578125
37,0.002653316043514233,99.91833333333334,0.03838481080456404,99.11,0.9911152852858217,0.9911,0.9910943298280832,18.162107229232788
38,0.006605342936056835,99.82333333333334,0.02839708716251721,99.31,0.9931209309474002,0.9931,0.9930962353996702,18.199190139770508
39,0.005007946621798452,99.865,0.02300875958968618,99.38,0.9938069246411038,0.9938,0.9937973107845571,18.2985999584198
40,0.002969489953380965,99.91333333333333,0.03578706701007182,99.14,0.9914299751439793,0.9914,0.9914017412200101,18.41506004333496
41,0.0021375795732425065,99.92666666666666,0.03857200033436357,99.15,0.9915722456288242,0.9915,0.9915031676093317,18.34981894493103
42,0.002239740968815703,99.91833333333334,0.06443502312375812,98.64,0.9866738287662447,0.9864,0.986370899050232,18.521203994750977
43,0.006963197521729447,99.78166666666667,0.026955691706463992,99.31,0.9931155732913228,0.9931,0.9930978654928833,18.45196008682251
44,0.002657825163023904,99.92166666666667,0.027822200895422887,99.38,0.993814092990927,0.9938,0.9938009973539547,18.446973085403442
45,0.0038094837795065264,99.89666666666666,0.02826075096419345,99.26,0.9926165587258498,0.9926,0.9925977636973281,19.087925910949707
46,0.001982298117048018,99.94166666666666,0.03597726673821651,99.33,0.9933240071869395,0.9933,0.9933016884413682,18.575650930404663
47,0.0027350544789413182,99.93,0.03321534807604074,99.26,0.9926620220359335,0.9926,0.9926027058681429,18.28602910041809
48,0.0014950109716103707,99.96833333333333,0.03416922341943494,99.28,0.992817506384196,0.9928,0.9927983628368502,18.338842153549194
49,0.0032200864329810274,99.905,0.03616975688323691,99.22,0.9922462127209106,0.9922,0.992199581670541,18.227561950683594
50,0.002328665775087544,99.92333333333333,0.03545534494963638,99.25,0.9925239231631445,0.9925,0.9924956818798788,18.325627088546753
